area_id,desc
922,"full address of the given location is ulica Ościsłowo 30A-30A, 06-452, Glinojeck gmina, Ciechanowski, Mazowieckie, POL"
22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL"
228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL"
229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL"
22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL"
22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL"
224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL"
225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL"
227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL"
822,"full address of the given location is ulica Wietlin, 37-512, Laszki, Jarosławski, Podkarpackie, POL"
622,"full address of the given location is Ramsowo, Barczewo, Olsztyński, Warmińsko-mazurskie, POL"
722,"full address of the given location is Rączki, Kluczewsko, Włoszczowski, Świętokrzyskie, POL"
616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL"
617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL"
618,"full address of the given location is Wysoka, Cekcyn, Tucholski, Kujawsko-pomorskie, POL"
613,"full address of the given location is Toporzysko, Zławieś Wielka, Toruński, Kujawsko-pomorskie, POL"
619,"full address of the given location is Wieniec Zalesie, Brześć Kujawski, Włocławski, Kujawsko-pomorskie, POL"
414,"full address of the given location is Daninów, Kazimierz Biskupi, Koniński, Wielkopolskie, POL"
411,"full address of the given location is Dziembowo, Kaczory, Pilski, Wielkopolskie, POL"
415,"full address of the given location is Kawiarnia Złota, ulica Święty Marcin 51, 61-803, Stare Miasto, Poznań, Wielkopolskie, POL"
418,"full address of the given location is Chojno, Wronki, Szamotulski, Wielkopolskie, POL"
416,"full address of the given location is ulica Kołątajew 60-60, 63-410, Ostrów Wielkopolski gmina, Ostrowski, Wielkopolskie, POL"
841,"full address of the given location is Studzianki, Wasilków, Białostocki, Podlaskie, POL"
417,"full address of the given location is Kotusz, Kamieniec, Grodziski, Wielkopolskie, POL"
623,"full address of the given location is Radzie, Wydminy, Giżycki, Warmińsko-mazurskie, POL"
621,"full address of the given location is Majdany Wielkie, Miłomłyn, Ostródzki, Warmińsko-mazurskie, POL"
424,"full address of the given location is Dąbie 1, Szczecin, Zachodniopomorskie, POL"
427,"full address of the given location is Konotop, Drawsko Pomorskie, Drawski, Zachodniopomorskie, POL"
428,"full address of the given location is ulica Bolechowo, 72-131, Goleniów gmina, Goleniowski, Zachodniopomorskie, POL"
426,"full address of the given location is 76-009, Bonin, Zachodniopomorskie, POL"
842,"full address of the given location is Łopienie-zyski, Nowe Piekuty, Wysokomazowiecki, Podlaskie, POL"
515,"full address of the given location is Mojesz, Lwówek Śląski, Lwówecki, Dolnośląskie, POL"
516,"full address of the given location is Rynarcice 28, 59-305, Rynarcice, Rudna, Lubiński, Dolnośląskie, POL"
518,"full address of the given location is ulica Rakowa, 55-114, Wisznia Mała, Trzebnicki, Dolnośląskie, POL"
517,"full address of the given location is Wolibórz, Nowa Ruda, Kłodzki, Dolnośląskie, POL"
514,"full address of the given location is Popowice, Wrocław, Dolnośląskie, POL"
524,"full address of the given location is ulica Cmentarna 17, 46-042, Szczedrzyk, Ozimek, Opolski, Opolskie, POL"
523,"full address of the given location is Łambinowice, Nyski, Opolskie, POL"
714,"full address of the given location is Wola Będkowska 48a, 98-260, Wola Będkowska, Burzenin, Sieradzki, Łódzkie, POL"
713,"full address of the given location is Łazy Dąbrowa, Sulejów, Piotrkowski, Łódzkie, POL"
712,"full address of the given location is Opole, Parzęczew, Zgierski, Łódzkie, POL"
711,"full address of the given location is Irys Damian Macha, ulica Przędzalniana 63-10, 90-347, Stary Widzew, Łódź, Łódzkie, POL"
715,"full address of the given location is Skaratki, Domaniewice, Łowicki, Łódzkie, POL"
637,"full address of the given location is Park Narodowy Bory Tucholskie, ulica Długa 33, 89-606, Chojnice gmina, Chojnicki, Pomorskie, POL"
638,"full address of the given location is Szprudowo, Gniew, Tczewski, Pomorskie, POL"
633,"full address of the given location is ulica Obotrycka 15-25, 80-383, Przymorze Małe, Gdańsk, Pomorskie, POL"
634,"full address of the given location is Warzno, Szemud, Wejherowski, Pomorskie, POL"
636,"full address of the given location is Ochodza, Dębnica Kaszubska, Słupski, Pomorskie, POL"
843,"full address of the given location is Netta Druga, Augustów, Augustowski, Podlaskie, POL"
431,"full address of the given location is Bolemin, Deszczno, Gorzowski, Lubuskie, POL"
432,"full address of the given location is Świdnica, Zielonogórski, Lubuskie, POL"
923,"full address of the given location is Trzepowo Nowe, Stara Biała, Płocki, Mazowieckie, POL"
925,"full address of the given location is Niwiski, Mokobody, Siedlecki, Mazowieckie, POL"
924,"full address of the given location is Modzele, Młynarze, Makowski, Mazowieckie, POL"
926,"full address of the given location is Ciemno Gnojna, Mszczonów, Żyrardowski, Mazowieckie, POL"
921,"full address of the given location is ulica 11 Listopada 166-166, 26-613, Radom, Mazowieckie, POL"
721,"full address of the given location is Gruszka, Zagnańsk, Kielecki, Świętokrzyskie, POL"
823,"full address of the given location is Świlcza, Rzeszowski, Podkarpackie, POL"
821,"full address of the given location is Bełchówka, Bukowsko, Sanocki, Podkarpackie, POL"
824,"full address of the given location is Otałęż 315, 39-304, Otałęż, Czermin, Mielecki, Podkarpackie, POL"
811,"full address of the given location is Polubicze Wiejskie, Wisznice, Bialski, Lubelskie, POL"
814,"full address of the given location is ulica Łysakowska 23, 20-257, Jakubowice Murowane, Lublin, Lubelskie, POL"
812,"full address of the given location is Czołki 14B, 22-424, Czołki, Sitno, Zamojski, Lubelskie, POL"
815,"full address of the given location is ulica Łopatki 88A-88A, 24-160, Wąwolnica, Puławski, Lubelskie, POL"
217,"full address of the given location is ulica Wędkarska, 33-100, Mościce, Tarnów, Małopolskie, POL"
214,"full address of the given location is Ostrężnica, Krzeszowice, Krakowski, Małopolskie, POL"
218,"full address of the given location is Nowy Sącz, Małopolskie, POL"
219,"full address of the given location is Morawczyna, Nowy Targ, Nowotarski, Małopolskie, POL"
21A,"full address of the given location is Kwaczała, Alwernia, Chrzanowski, Małopolskie, POL"
213,"full address of the given location is ulica Na Zakolu Wisły 10, 30-729, Podgórze, Kraków, Małopolskie, POL"
912,"full address of the given location is Kąty Goździejewskie, Dębe Wielkie, Miński, Mazowieckie, POL"
911,"full address of the given location is Praga-południe-dzielnica, Warszawa, Mazowieckie, POL"
913,"full address of the given location is ulica Błogosławionego Księdza Józefa Stanka 6-6, 05-850, Ołtarzew, Warszawski Zachodni, Mazowieckie, POL"
