area_id,desc
922,"full address of the given location is ulica Ościsłowo 30A-30A, 06-452, Glinojeck gmina, Ciechanowski, Mazowieckie, POL
Land cover ratio of building in the neighboring region(s) is 0.015
area of district (km^2) of the given location is 5255.313
Sum of nightlight intensity is 28389.584
Average nightlight intensity is 0.589
Land cover ratio of development is 0.031
Land cover ratio of building is 0.008
area of district (km^2) of the given location in the neighboring region(s) is 39695.511
Land cover ratio of road is 0.006
Land cover ratio of development in the neighboring region(s) is 0.041
Land cover ratio of road in the neighboring region(s) is 0.007
Sum of nightlight intensity in the neighboring region(s) is 353046.166
Average nightlight intensity in the neighboring region(s) is 1.263
Land cover ratio of rangeland is 0.435
Land cover ratio of agricultural is 0.321
distance to the nearest airport is 82.528
distance to the nearest port is 207.082
Land cover ratio of agricultural in the neighboring region(s) is 0.191
Land cover ratio of water is 0.117
Land cover ratio of water in the neighboring region(s) is 0.109"
22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
Land cover ratio of building in the neighboring region(s) is 0.037
area of district (km^2) of the given location is 944.275
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
Land cover ratio of development is 0.069
Land cover ratio of building is 0.041
area of district (km^2) of the given location in the neighboring region(s) is 8807.543
Land cover ratio of road is 0.013
Land cover ratio of development in the neighboring region(s) is 0.063
Land cover ratio of road in the neighboring region(s) is 0.013
Sum of nightlight intensity in the neighboring region(s) is 273647.605
Average nightlight intensity in the neighboring region(s) is 4.492
Land cover ratio of rangeland is 0.486
Land cover ratio of agricultural is 0.125
distance to the nearest airport is 62.749
distance to the nearest port is 480.035
Land cover ratio of agricultural in the neighboring region(s) is 0.123
Land cover ratio of water is 0.165
Land cover ratio of water in the neighboring region(s) is 0.125"
228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
Land cover ratio of building in the neighboring region(s) is 0.03
area of district (km^2) of the given location is 1577.294
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
Land cover ratio of development is 0.048
Land cover ratio of building is 0.052
area of district (km^2) of the given location in the neighboring region(s) is 11429.075
Land cover ratio of road is 0.009
Land cover ratio of development in the neighboring region(s) is 0.05
Land cover ratio of road in the neighboring region(s) is 0.01
Sum of nightlight intensity in the neighboring region(s) is 235841.312
Average nightlight intensity in the neighboring region(s) is 2.782
Land cover ratio of rangeland is 0.472
Land cover ratio of agricultural is 0.139
distance to the nearest airport is 90.669
distance to the nearest port is 424.628
Land cover ratio of agricultural in the neighboring region(s) is 0.19
Land cover ratio of water is 0.163
Land cover ratio of water in the neighboring region(s) is 0.12"
229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
Land cover ratio of building in the neighboring region(s) is 0.037
area of district (km^2) of the given location is 879.221
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
Land cover ratio of development is 0.06
Land cover ratio of building is 0.03
area of district (km^2) of the given location in the neighboring region(s) is 9574.386
Land cover ratio of road is 0.014
Land cover ratio of development in the neighboring region(s) is 0.049
Land cover ratio of road in the neighboring region(s) is 0.009
Sum of nightlight intensity in the neighboring region(s) is 210348.383
Average nightlight intensity in the neighboring region(s) is 3.609
Land cover ratio of rangeland is 0.498
Land cover ratio of agricultural is 0.192
distance to the nearest airport is 92.359
distance to the nearest port is 439.659
Land cover ratio of agricultural in the neighboring region(s) is 0.209
Land cover ratio of water is 0.118
Land cover ratio of water in the neighboring region(s) is 0.149"
22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
Land cover ratio of building in the neighboring region(s) is 0.039
area of district (km^2) of the given location is 380.303
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
Land cover ratio of development is 0.13
Land cover ratio of building is 0.075
area of district (km^2) of the given location in the neighboring region(s) is 5202.838
Land cover ratio of road is 0.032
Land cover ratio of development in the neighboring region(s) is 0.059
Land cover ratio of road in the neighboring region(s) is 0.013
Sum of nightlight intensity in the neighboring region(s) is 164199.57
Average nightlight intensity in the neighboring region(s) is 4.205
Land cover ratio of rangeland is 0.62
Land cover ratio of agricultural is 0.025
distance to the nearest airport is 59.959
distance to the nearest port is 462.674
Land cover ratio of agricultural in the neighboring region(s) is 0.139
Land cover ratio of water is 0.059
Land cover ratio of water in the neighboring region(s) is 0.139"
22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
Land cover ratio of building in the neighboring region(s) is 0.03
area of district (km^2) of the given location is 1802.048
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
Land cover ratio of development is 0.063
Land cover ratio of building is 0.031
area of district (km^2) of the given location in the neighboring region(s) is 18720.472
Land cover ratio of road is 0.015
Land cover ratio of development in the neighboring region(s) is 0.057
Land cover ratio of road in the neighboring region(s) is 0.01
Sum of nightlight intensity in the neighboring region(s) is 287958.469
Average nightlight intensity in the neighboring region(s) is 2.027
Land cover ratio of rangeland is 0.51
Land cover ratio of agricultural is 0.121
distance to the nearest airport is 48.548
distance to the nearest port is 442.798
Land cover ratio of agricultural in the neighboring region(s) is 0.204
Land cover ratio of water is 0.115
Land cover ratio of water in the neighboring region(s) is 0.115"
224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
Land cover ratio of building in the neighboring region(s) is 0.025
area of district (km^2) of the given location is 3048.128
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
Land cover ratio of development is 0.056
Land cover ratio of building is 0.027
area of district (km^2) of the given location in the neighboring region(s) is 27015.125
Land cover ratio of road is 0.012
Land cover ratio of development in the neighboring region(s) is 0.045
Land cover ratio of road in the neighboring region(s) is 0.008
Sum of nightlight intensity in the neighboring region(s) is 262587.34
Average nightlight intensity in the neighboring region(s) is 1.262
Land cover ratio of rangeland is 0.569
Land cover ratio of agricultural is 0.12
distance to the nearest airport is 93.145
distance to the nearest port is 399.878
Land cover ratio of agricultural in the neighboring region(s) is 0.254
Land cover ratio of water is 0.088
Land cover ratio of water in the neighboring region(s) is 0.108"
225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
Land cover ratio of building in the neighboring region(s) is 0.036
area of district (km^2) of the given location is 2352.916
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
Land cover ratio of development is 0.049
Land cover ratio of building is 0.036
area of district (km^2) of the given location in the neighboring region(s) is 6969.625
Land cover ratio of road is 0.007
Land cover ratio of development in the neighboring region(s) is 0.057
Land cover ratio of road in the neighboring region(s) is 0.01
Sum of nightlight intensity in the neighboring region(s) is 144945.465
Average nightlight intensity in the neighboring region(s) is 3.114
Land cover ratio of rangeland is 0.581
Land cover ratio of agricultural is 0.082
distance to the nearest airport is 68.587
distance to the nearest port is 516.61
Land cover ratio of agricultural in the neighboring region(s) is 0.097
Land cover ratio of water is 0.149
Land cover ratio of water in the neighboring region(s) is 0.122"
227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
Land cover ratio of building in the neighboring region(s) is 0.026
area of district (km^2) of the given location is 1353.139
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
Land cover ratio of development is 0.072
Land cover ratio of building is 0.042
area of district (km^2) of the given location in the neighboring region(s) is 13588.674
Land cover ratio of road is 0.015
Land cover ratio of development in the neighboring region(s) is 0.038
Land cover ratio of road in the neighboring region(s) is 0.007
Sum of nightlight intensity in the neighboring region(s) is 197910.861
Average nightlight intensity in the neighboring region(s) is 2.244
Land cover ratio of rangeland is 0.43
Land cover ratio of agricultural is 0.186
distance to the nearest airport is 99.312
distance to the nearest port is 457.293
Land cover ratio of agricultural in the neighboring region(s) is 0.242
Land cover ratio of water is 0.166
Land cover ratio of water in the neighboring region(s) is 0.159"
822,"full address of the given location is ulica Wietlin, 37-512, Laszki, Jarosławski, Podkarpackie, POL
Land cover ratio of building in the neighboring region(s) is 0.032
area of district (km^2) of the given location is 4291.923
Sum of nightlight intensity is 16016.604
Average nightlight intensity is 0.488
Land cover ratio of development is 0.041
Land cover ratio of building is 0.045
area of district (km^2) of the given location in the neighboring region(s) is 22847.147
Land cover ratio of road is 0.006
Land cover ratio of development in the neighboring region(s) is 0.047
Land cover ratio of road in the neighboring region(s) is 0.007
Sum of nightlight intensity in the neighboring region(s) is 102933.94
Average nightlight intensity in the neighboring region(s) is 0.715
Land cover ratio of rangeland is 0.461
Land cover ratio of agricultural is 0.191
distance to the nearest airport is 84.263
distance to the nearest port is 545.652
Land cover ratio of agricultural in the neighboring region(s) is 0.173
Land cover ratio of water is 0.165
Land cover ratio of water in the neighboring region(s) is 0.118"
