area_id,desc
922,"full address of the given location is ulica Ościsłowo 30A-30A, 06-452, Glinojeck gmina, Ciechanowski, Mazowieckie, POL
area of district (km^2) of the given location is 5255.313
Sum of nightlight intensity is 28389.584
Average nightlight intensity is 0.589
Land cover ratio of development is 0.031
Land cover ratio of building is 0.008"
22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
area of district (km^2) of the given location is 944.275
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
Land cover ratio of development is 0.069
Land cover ratio of building is 0.041"
228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
area of district (km^2) of the given location is 1577.294
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
Land cover ratio of development is 0.048
Land cover ratio of building is 0.052"
229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
area of district (km^2) of the given location is 879.221
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
Land cover ratio of development is 0.06
Land cover ratio of building is 0.03"
22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
area of district (km^2) of the given location is 380.303
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
Land cover ratio of development is 0.13
Land cover ratio of building is 0.075"
22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
area of district (km^2) of the given location is 1802.048
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
Land cover ratio of development is 0.063
Land cover ratio of building is 0.031"
224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
area of district (km^2) of the given location is 3048.128
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
Land cover ratio of development is 0.056
Land cover ratio of building is 0.027"
225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
area of district (km^2) of the given location is 2352.916
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
Land cover ratio of development is 0.049
Land cover ratio of building is 0.036"
227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
area of district (km^2) of the given location is 1353.139
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
Land cover ratio of development is 0.072
Land cover ratio of building is 0.042"
822,"full address of the given location is ulica Wietlin, 37-512, Laszki, Jarosławski, Podkarpackie, POL
area of district (km^2) of the given location is 4291.923
Sum of nightlight intensity is 16016.604
Average nightlight intensity is 0.488
Land cover ratio of development is 0.041
Land cover ratio of building is 0.045"
622,"full address of the given location is Ramsowo, Barczewo, Olsztyński, Warmińsko-mazurskie, POL
area of district (km^2) of the given location is 10330.453
Sum of nightlight intensity is 48462.324
Average nightlight intensity is 1.126
Land cover ratio of development is 0.033
Land cover ratio of building is 0.012"
722,"full address of the given location is Rączki, Kluczewsko, Włoszczowski, Świętokrzyskie, POL
area of district (km^2) of the given location is 6678.446
Sum of nightlight intensity is 32591.816
Average nightlight intensity is 0.518
Land cover ratio of development is 0.046
Land cover ratio of building is 0.02"
616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL
area of district (km^2) of the given location is 4053.022
Sum of nightlight intensity is 24538.795
Average nightlight intensity is 0.889
Land cover ratio of development is 0.043
Land cover ratio of building is 0.007"
617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL
area of district (km^2) of the given location is 4004.409
Sum of nightlight intensity is 34713.672
Average nightlight intensity is 1.1
Land cover ratio of development is 0.037
Land cover ratio of building is 0.007"
