area_id,desc
3005_2023,"full address of the given location is Chigyong, Hamgyong-Namdo, PRK
area of district (km^2) of the given location is 6.603
area of administrative division including this area is 596.675
Sum of nightlight intensity is 20.794
Average nightlight intensity is 0.693
Sum of nightlight intensity in the administrative division including this area is 40.936
Average nightlight intensity in the administrative division including this area is 0.006
Land cover ratio of development is 0.237
Land cover ratio of building is 0.027
Land cover ratio of agricultural is 0.197
distance to the nearest airport is 141.666
distance to the nearest port is 208.3"
3011_2023,"full address of the given location is Geumya-gun, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 6.44
area of administrative division including this area is 681.392
Sum of nightlight intensity is 30.109
Average nightlight intensity is 0.912
Sum of nightlight intensity in the administrative division including this area is 64.596
Average nightlight intensity in the administrative division including this area is 0.009
Land cover ratio of development is 0.189
Land cover ratio of building is 0.016
Land cover ratio of agricultural is 0.077
distance to the nearest airport is 116.991
distance to the nearest port is 189.26"
10019_2023,"full address of the given location is Seongcheon-gun, Pyongannam-do, PRK
area of district (km^2) of the given location is 10.078
area of administrative division including this area is 834.8
Sum of nightlight intensity is 18.363
Average nightlight intensity is 0.375
Sum of nightlight intensity in the administrative division including this area is 53.609
Average nightlight intensity in the administrative division including this area is 0.013
Land cover ratio of development is 0.152
Land cover ratio of building is 0.007
Land cover ratio of agricultural is 0.033
distance to the nearest airport is 33.705
distance to the nearest port is 236.45"
10020_2023,"full address of the given location is Sukcheon-gun, Pyongannam-do, PRK
area of district (km^2) of the given location is 14.04
area of administrative division including this area is 428.008
Sum of nightlight intensity is 27.777
Average nightlight intensity is 0.661
Sum of nightlight intensity in the administrative division including this area is 77.118
Average nightlight intensity in the administrative division including this area is 0.032
Land cover ratio of development is 0.197
Land cover ratio of building is 0.025
Land cover ratio of agricultural is 0.067
distance to the nearest airport is 22.552
distance to the nearest port is 290.4"
10013_2023,"full address of the given location is Ch'ongjongsang-Dong, P'Yongan-Namdo, PRK
area of district (km^2) of the given location is 9.279
area of administrative division including this area is 319.585
Sum of nightlight intensity is 26.539
Average nightlight intensity is 0.68
Sum of nightlight intensity in the administrative division including this area is 58.192
Average nightlight intensity in the administrative division including this area is 0.029
Land cover ratio of development is 0.183
Land cover ratio of building is 0.025
Land cover ratio of agricultural is 0.153
distance to the nearest airport is 52.732
distance to the nearest port is 302.24"
7006_2023,"full address of the given location is Icheon-gun, Gangwon-do, PRK
area of district (km^2) of the given location is 1.372
area of administrative division including this area is 629.804
Sum of nightlight intensity is 3.281
Average nightlight intensity is 0.469
Sum of nightlight intensity in the administrative division including this area is 19.974
Average nightlight intensity in the administrative division including this area is 0.009
Land cover ratio of development is 0.142
Land cover ratio of building is 0.023
Land cover ratio of agricultural is 0.043
distance to the nearest airport is 104.574
distance to the nearest port is 151.82"
7008_2023,"full address of the given location is Gosan-gun, Gangwon-do, PRK
area of district (km^2) of the given location is 12.226
area of administrative division including this area is 386.18
Sum of nightlight intensity is 27.121
Average nightlight intensity is 0.468
Sum of nightlight intensity in the administrative division including this area is 56.373
Average nightlight intensity in the administrative division including this area is 0.031
Land cover ratio of development is 0.218
Land cover ratio of building is 0.025
Land cover ratio of agricultural is 0.184
distance to the nearest airport is 140.176
distance to the nearest port is 125.20"
9009_2023,"full address of the given location is Gujang-gun, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 15.406
area of administrative division including this area is 696.825
Sum of nightlight intensity is 55.945
Average nightlight intensity is 0.478
Sum of nightlight intensity in the administrative division including this area is 114.918
Average nightlight intensity in the administrative division including this area is 0.025
Land cover ratio of development is 0.175
Land cover ratio of building is 0.021
Land cover ratio of agricultural is 0.013
distance to the nearest airport is 51.196
distance to the nearest port is 286.32"
9010_2023,"full address of the given location is Guseong-si, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 24.338
area of administrative division including this area is 524.177
Sum of nightlight intensity is 23.262
Average nightlight intensity is 0.277
Sum of nightlight intensity in the administrative division including this area is 79.257
Average nightlight intensity in the administrative division including this area is 0.042
Land cover ratio of development is 0.149
Land cover ratio of building is 0.01
Land cover ratio of agricultural is 0.063
distance to the nearest airport is 84.047
distance to the nearest port is 268.10"
9023_2023,"full address of the given location is Unsan-gun, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 15.073
area of administrative division including this area is 869.304
Sum of nightlight intensity is 28.337
Average nightlight intensity is 0.691
Sum of nightlight intensity in the administrative division including this area is 85.562
Average nightlight intensity in the administrative division including this area is 0.019
Land cover ratio of development is 0.184
Land cover ratio of building is 0.015
Land cover ratio of agricultural is 0.059
distance to the nearest airport is 77.982
distance to the nearest port is 314.51"
1016_2023,"full address of the given location is Dongsin-gun, Jagang-do, PRK
area of district (km^2) of the given location is 5.213
area of administrative division including this area is 1306.233
Sum of nightlight intensity is 4.382
Average nightlight intensity is 0.169
Sum of nightlight intensity in the administrative division including this area is 87.25
Average nightlight intensity in the administrative division including this area is 0.016
Land cover ratio of development is 0.155
Land cover ratio of building is 0.009
Land cover ratio of agricultural is 0.035
distance to the nearest airport is 105.613
distance to the nearest port is 305.45"
1017_2023,"full address of the given location is Wusi-gun, Jagang-do, PRK
area of district (km^2) of the given location is 6.875
area of administrative division including this area is 503.657
Sum of nightlight intensity is 13.473
Average nightlight intensity is 0.299
Sum of nightlight intensity in the administrative division including this area is 23.224
Average nightlight intensity in the administrative division including this area is 0.006
Land cover ratio of development is 0.106
Land cover ratio of building is 0.009
Land cover ratio of agricultural is 0.03
distance to the nearest airport is 141.954
distance to the nearest port is 290."
5003_2023,"full address of the given location is Sainei, Hwanghae-Namdo, PRK
area of district (km^2) of the given location is 13.071
area of administrative division including this area is 394.885
Sum of nightlight intensity is 46.451
Average nightlight intensity is 0.683
Sum of nightlight intensity in the administrative division including this area is 51.666
Average nightlight intensity in the administrative division including this area is 0.02
Land cover ratio of development is 0.19
Land cover ratio of building is 0.029
Land cover ratio of agricultural is 0.04
distance to the nearest airport is 89.337
distance to the nearest port is 260.75"
5018_2023,"full address of the given location is Euncheon-gun, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 11.87
area of administrative division including this area is 476.655
Sum of nightlight intensity is 21.245
Average nightlight intensity is 0.386
Sum of nightlight intensity in the administrative division including this area is 29.119
Average nightlight intensity in the administrative division including this area is 0.019
Land cover ratio of development is 0.178
Land cover ratio of building is 0.017
Land cover ratio of agricultural is 0.056
distance to the nearest airport is 73.696
distance to the nearest port is 279.33"
4015_2023,"full address of the given location is Eunpa-gun, Hwanghaebuk-do, PRK
area of district (km^2) of the given location is 11.003
area of administrative division including this area is 308.646
Sum of nightlight intensity is 24.319
Average nightlight intensity is 0.54
Sum of nightlight intensity in the administrative division including this area is 25.76
Average nightlight intensity in the administrative division including this area is 0.018
Land cover ratio of development is 0.19
Land cover ratio of building is 0.029
Land cover ratio of agricultural is 0.04
distance to the nearest airport is 88.279
distance to the nearest port is 244.98"
4017_2023,"full address of the given location is Yeontan-gun, Hwanghaebuk-do, PRK
area of district (km^2) of the given location is 15.045
area of administrative division including this area is 504.689
Sum of nightlight intensity is 19.078
Average nightlight intensity is 0.561
Sum of nightlight intensity in the administrative division including this area is 30.485
Average nightlight intensity in the administrative division including this area is 0.01
Land cover ratio of development is 0.158
Land cover ratio of building is 0.01
Land cover ratio of agricultural is 0.047
distance to the nearest airport is 70.339
distance to the nearest port is 232.21"
2007_2023,"full address of the given location is Gyeongseong-gun, Hamgyeongbuk-do, PRK
area of district (km^2) of the given location is 20.698
area of administrative division including this area is 1330.718
Sum of nightlight intensity is 87.321
Average nightlight intensity is 0.414
Sum of nightlight intensity in the administrative division including this area is 221.457
Average nightlight intensity in the administrative division including this area is 0.034
Land cover ratio of development is 0.231
Land cover ratio of building is 0.034
Land cover ratio of agricultural is 0.132
distance to the nearest airport is 288.509
distance to the nearest port is 252.22"
