area_id,desc
3005,"full address of the given location is Hamju-gun, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 6.603
Sum of nightlight intensity is 13.523
Average nightlight intensity is 0.451
distance to the nearest airport is 141.666
distance to the nearest port is 208.39
Land cover ratio of development is 0.319
Land cover ratio of agricultural is 0.18"
3011,"full address of the given location is Geumya-gun, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 6.44
Sum of nightlight intensity is 23.176
Average nightlight intensity is 0.702
distance to the nearest airport is 116.991
distance to the nearest port is 189.263
Land cover ratio of development is 0.334
Land cover ratio of agricultural is 0.046"
10019,"full address of the given location is Seongcheon-gun, Pyongannam-do, PRK
area of district (km^2) of the given location is 10.078
Sum of nightlight intensity is 12.526
Average nightlight intensity is 0.256
distance to the nearest airport is 33.705
distance to the nearest port is 236.456
Land cover ratio of development is 0.257
Land cover ratio of agricultural is 0.054"
10020,"full address of the given location is Sukcheon-gun, Pyongannam-do, PRK
area of district (km^2) of the given location is 14.04
Sum of nightlight intensity is 19.674
Average nightlight intensity is 0.468
distance to the nearest airport is 22.552
distance to the nearest port is 290.43
Land cover ratio of development is 0.323
Land cover ratio of agricultural is 0.02"
10013,"full address of the given location is Oncheon-gun, Nampo-si, PRK
area of district (km^2) of the given location is 9.279
Sum of nightlight intensity is 10.854
Average nightlight intensity is 0.278
distance to the nearest airport is 52.732
distance to the nearest port is 302.242
Land cover ratio of development is 0.363
Land cover ratio of agricultural is 0.076"
7006,"full address of the given location is Icheon-gun, Gangwon-do, PRK
area of district (km^2) of the given location is 1.372
Sum of nightlight intensity is 3.789
Average nightlight intensity is 0.541
distance to the nearest airport is 104.574
distance to the nearest port is 151.822
Land cover ratio of development is 0.334
Land cover ratio of agricultural is 0.005"
7008,"full address of the given location is Gosan-gun, Gangwon-do, PRK
area of district (km^2) of the given location is 12.226
Sum of nightlight intensity is 24.468
Average nightlight intensity is 0.422
distance to the nearest airport is 140.176
distance to the nearest port is 125.203
Land cover ratio of development is 0.299
Land cover ratio of agricultural is 0.186"
9009,"full address of the given location is Gujang-gun, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 15.406
Sum of nightlight intensity is 23.529
Average nightlight intensity is 0.201
distance to the nearest airport is 51.196
distance to the nearest port is 286.328
Land cover ratio of development is 0.284
Land cover ratio of agricultural is 0.004"
9010,"full address of the given location is Guseong-si, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 24.338
Sum of nightlight intensity is 12.515
Average nightlight intensity is 0.149
distance to the nearest airport is 84.047
distance to the nearest port is 268.105
Land cover ratio of development is 0.405
Land cover ratio of agricultural is 0.016"
9023,"full address of the given location is Unsan-gun, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 15.073
Sum of nightlight intensity is 14.658
Average nightlight intensity is 0.358
distance to the nearest airport is 77.982
distance to the nearest port is 314.519
Land cover ratio of development is 0.227
Land cover ratio of agricultural is 0.041"
