area_id,desc
03005,"full address of the given location is Chigyong, Hamgyong-Namdo, PRK
area of district (km^2) of the given location is 6.603
Population of the area is 133896.0
Sum of nightlight intensity is 13.523
Average nightlight intensity is 0.451
Land cover ratio of development is 0.257
Land cover ratio of building is 0.034
Land cover ratio of road is 0.022
Land cover ratio of rangeland is 0.33
Land cover ratio of agricultural is 0.124
Land cover ratio of water is 0.156
distance to the nearest airport is 141.666
distance to the nearest port is 208.39"
03011,"full address of the given location is Geumya-gun, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 6.44
Population of the area is 211140.0
Sum of nightlight intensity is 23.176
Average nightlight intensity is 0.702
Land cover ratio of development is 0.221
Land cover ratio of building is 0.019
Land cover ratio of road is 0.016
Land cover ratio of rangeland is 0.529
Land cover ratio of agricultural is 0.044
Land cover ratio of water is 0.139
distance to the nearest airport is 116.991
distance to the nearest port is 189.263"
10019,"full address of the given location is Seongcheon-gun, Pyongannam-do, PRK
area of district (km^2) of the given location is 10.078
Population of the area is 149809.0
Sum of nightlight intensity is 12.526
Average nightlight intensity is 0.256
Land cover ratio of development is 0.13
Land cover ratio of building is 0.014
Land cover ratio of road is 0.013
Land cover ratio of rangeland is 0.505
Land cover ratio of agricultural is 0.06
Land cover ratio of water is 0.25
distance to the nearest airport is 33.705
distance to the nearest port is 236.456"
10020,"full address of the given location is Sukcheon-gun, Pyongannam-do, PRK
area of district (km^2) of the given location is 14.04
Population of the area is 178509.0
Sum of nightlight intensity is 19.674
Average nightlight intensity is 0.468
Land cover ratio of development is 0.243
Land cover ratio of building is 0.034
Land cover ratio of road is 0.018
Land cover ratio of rangeland is 0.453
Land cover ratio of agricultural is 0.048
Land cover ratio of water is 0.15
distance to the nearest airport is 22.552
distance to the nearest port is 290.43"
10013,"full address of the given location is Ch'ongjongsang-Dong, P'Yongan-Namdo, PRK
area of district (km^2) of the given location is 9.279
Population of the area is 149851.0
Sum of nightlight intensity is 10.854
Average nightlight intensity is 0.278
Land cover ratio of development is 0.127
Land cover ratio of building is 0.011
Land cover ratio of road is 0.011
Land cover ratio of rangeland is 0.547
Land cover ratio of agricultural is 0.098
Land cover ratio of water is 0.171
distance to the nearest airport is 52.732
distance to the nearest port is 302.242"
07006,"full address of the given location is Icheon-gun, Gangwon-do, PRK
area of district (km^2) of the given location is 1.372
Population of the area is 57563.0
Sum of nightlight intensity is 3.789
Average nightlight intensity is 0.541
Land cover ratio of development is 0.153
Land cover ratio of building is 0.03
Land cover ratio of road is 0.004
Land cover ratio of rangeland is 0.594
Land cover ratio of agricultural is 0.052
Land cover ratio of water is 0.124
distance to the nearest airport is 104.574
distance to the nearest port is 151.822"
07008,"full address of the given location is Gosan-gun, Gangwon-do, PRK
area of district (km^2) of the given location is 12.226
Population of the area is 103579.0
Sum of nightlight intensity is 24.468
Average nightlight intensity is 0.422
Land cover ratio of development is 0.159
Land cover ratio of building is 0.022
Land cover ratio of road is 0.024
Land cover ratio of rangeland is 0.44
Land cover ratio of agricultural is 0.136
Land cover ratio of water is 0.18
distance to the nearest airport is 140.176
distance to the nearest port is 125.203"
09009,"full address of the given location is Gujang-gun, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 15.406
Population of the area is 139337.0
Sum of nightlight intensity is 23.529
Average nightlight intensity is 0.201
Land cover ratio of development is 0.192
Land cover ratio of building is 0.023
Land cover ratio of road is 0.014
Land cover ratio of rangeland is 0.496
Land cover ratio of agricultural is 0.013
Land cover ratio of water is 0.23
distance to the nearest airport is 51.196
distance to the nearest port is 286.328"
09010,"full address of the given location is Guseong-si, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 24.338
Population of the area is 196515.0
Sum of nightlight intensity is 12.515
Average nightlight intensity is 0.149
Land cover ratio of development is 0.184
Land cover ratio of building is 0.013
Land cover ratio of road is 0.018
Land cover ratio of rangeland is 0.454
Land cover ratio of agricultural is 0.055
Land cover ratio of water is 0.213
distance to the nearest airport is 84.047
distance to the nearest port is 268.105"
09023,"full address of the given location is Unsan-gun, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 15.073
Population of the area is 102928.0
Sum of nightlight intensity is 14.658
Average nightlight intensity is 0.358
Land cover ratio of development is 0.159
Land cover ratio of building is 0.013
Land cover ratio of road is 0.014
Land cover ratio of rangeland is 0.477
Land cover ratio of agricultural is 0.021
Land cover ratio of water is 0.262
distance to the nearest airport is 77.982
distance to the nearest port is 314.519"
01016,"full address of the given location is Dongsin-gun, Jagang-do, PRK
area of district (km^2) of the given location is 5.213
Population of the area is 47460.0
Sum of nightlight intensity is 0.759
Average nightlight intensity is 0.029
Land cover ratio of development is 0.111
Land cover ratio of building is 0.004
Land cover ratio of road is 0.013
Land cover ratio of rangeland is 0.476
Land cover ratio of agricultural is 0.037
Land cover ratio of water is 0.319
distance to the nearest airport is 105.613
distance to the nearest port is 305.459"
01017,"full address of the given location is Wusi-gun, Jagang-do, PRK
area of district (km^2) of the given location is 6.875
Population of the area is 42919.0
Sum of nightlight intensity is 7.165
Average nightlight intensity is 0.159
Land cover ratio of development is 0.074
Land cover ratio of building is 0.007
Land cover ratio of road is 0.004
Land cover ratio of rangeland is 0.263
Land cover ratio of agricultural is 0.035
Land cover ratio of water is 0.583
distance to the nearest airport is 141.954
distance to the nearest port is 290.0"
05003,"full address of the given location is Sainei, Hwanghae-Namdo, PRK
area of district (km^2) of the given location is 13.071
Population of the area is 125631.0
Sum of nightlight intensity is 18.122
Average nightlight intensity is 0.267
Land cover ratio of development is 0.218
Land cover ratio of building is 0.027
Land cover ratio of road is 0.017
Land cover ratio of rangeland is 0.545
Land cover ratio of agricultural is 0.026
Land cover ratio of water is 0.117
distance to the nearest airport is 89.337
distance to the nearest port is 260.755"
