area_id,desc
3005,"full address of the given location is Chigyong, Hamgyong-Namdo, PRK
area of district (km^2) of the given location is 6.603
area of administrative division including this area is 596.675
Population of the administrative division including this area is 133896.0
Sum of nightlight intensity is 20.794
Average nightlight intensity is 0.693
Sum of nightlight intensity in the administrative division including this area is 40.936
Average nightlight intensity in the administrative division including this area is 0.006
Land cover ratio of development is 0.217
Land cover ratio of building is 0.029
Land cover ratio of road is 0.018
Land cover ratio of rangeland is 0.324
Land cover ratio of agricultural is 0.199
Land cover ratio of water is 0.15
distance to the nearest airport is 141.666
distance to the nearest port is 208.3"
3011,"full address of the given location is Geumya-gun, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 6.44
area of administrative division including this area is 681.392
Population of the administrative division including this area is 211140.0
Sum of nightlight intensity is 30.109
Average nightlight intensity is 0.912
Sum of nightlight intensity in the administrative division including this area is 64.596
Average nightlight intensity in the administrative division including this area is 0.009
Land cover ratio of development is 0.19
Land cover ratio of building is 0.023
Land cover ratio of road is 0.017
Land cover ratio of rangeland is 0.446
Land cover ratio of agricultural is 0.071
Land cover ratio of water is 0.23
distance to the nearest airport is 116.991
distance to the nearest port is 189.26"
10019,"full address of the given location is Seongcheon-gun, Pyongannam-do, PRK
area of district (km^2) of the given location is 10.078
area of administrative division including this area is 834.8
Population of the administrative division including this area is 149809.0
Sum of nightlight intensity is 18.363
Average nightlight intensity is 0.375
Sum of nightlight intensity in the administrative division including this area is 53.609
Average nightlight intensity in the administrative division including this area is 0.013
Land cover ratio of development is 0.138
Land cover ratio of building is 0.017
Land cover ratio of road is 0.013
Land cover ratio of rangeland is 0.523
Land cover ratio of agricultural is 0.047
Land cover ratio of water is 0.234
distance to the nearest airport is 33.705
distance to the nearest port is 236.45"
10020,"full address of the given location is Sukcheon-gun, Pyongannam-do, PRK
area of district (km^2) of the given location is 14.04
area of administrative division including this area is 428.008
Population of the administrative division including this area is 178509.0
Sum of nightlight intensity is 27.777
Average nightlight intensity is 0.661
Sum of nightlight intensity in the administrative division including this area is 77.118
Average nightlight intensity in the administrative division including this area is 0.032
Land cover ratio of development is 0.196
Land cover ratio of building is 0.025
Land cover ratio of road is 0.02
Land cover ratio of rangeland is 0.462
Land cover ratio of agricultural is 0.162
Land cover ratio of water is 0.083
distance to the nearest airport is 22.552
distance to the nearest port is 290.4"
10013,"full address of the given location is Ch'ongjongsang-Dong, P'Yongan-Namdo, PRK
area of district (km^2) of the given location is 9.279
area of administrative division including this area is 319.585
Population of the administrative division including this area is 149851.0
Sum of nightlight intensity is 26.539
Average nightlight intensity is 0.68
Sum of nightlight intensity in the administrative division including this area is 58.192
Average nightlight intensity in the administrative division including this area is 0.029
Land cover ratio of development is 0.195
Land cover ratio of building is 0.04
Land cover ratio of road is 0.026
Land cover ratio of rangeland is 0.411
Land cover ratio of agricultural is 0.212
Land cover ratio of water is 0.069
distance to the nearest airport is 52.732
distance to the nearest port is 302.24"
7006,"full address of the given location is Icheon-gun, Gangwon-do, PRK
area of district (km^2) of the given location is 1.372
area of administrative division including this area is 629.804
Population of the administrative division including this area is 57563.0
Sum of nightlight intensity is 3.281
Average nightlight intensity is 0.469
Sum of nightlight intensity in the administrative division including this area is 19.974
Average nightlight intensity in the administrative division including this area is 0.009
Land cover ratio of development is 0.082
Land cover ratio of building is 0.015
Land cover ratio of road is 0.005
Land cover ratio of rangeland is 0.537
Land cover ratio of agricultural is 0.02
Land cover ratio of water is 0.314
distance to the nearest airport is 104.574
distance to the nearest port is 151.82"
7008,"full address of the given location is Gosan-gun, Gangwon-do, PRK
area of district (km^2) of the given location is 12.226
area of administrative division including this area is 386.18
Population of the administrative division including this area is 103579.0
Sum of nightlight intensity is 27.121
Average nightlight intensity is 0.468
Sum of nightlight intensity in the administrative division including this area is 56.373
Average nightlight intensity in the administrative division including this area is 0.031
Land cover ratio of development is 0.133
Land cover ratio of building is 0.016
Land cover ratio of road is 0.017
Land cover ratio of rangeland is 0.424
Land cover ratio of agricultural is 0.154
Land cover ratio of water is 0.231
distance to the nearest airport is 140.176
distance to the nearest port is 125.20"
9009,"full address of the given location is Gujang-gun, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 15.406
area of administrative division including this area is 696.825
Population of the administrative division including this area is 139337.0
Sum of nightlight intensity is 55.945
Average nightlight intensity is 0.478
Sum of nightlight intensity in the administrative division including this area is 114.918
Average nightlight intensity in the administrative division including this area is 0.025
Land cover ratio of development is 0.159
Land cover ratio of building is 0.029
Land cover ratio of road is 0.019
Land cover ratio of rangeland is 0.538
Land cover ratio of agricultural is 0.017
Land cover ratio of water is 0.207
distance to the nearest airport is 51.196
distance to the nearest port is 286.32"
9010,"full address of the given location is Guseong-si, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 24.338
area of administrative division including this area is 524.177
Population of the administrative division including this area is 196515.0
Sum of nightlight intensity is 23.262
Average nightlight intensity is 0.277
Sum of nightlight intensity in the administrative division including this area is 79.257
Average nightlight intensity in the administrative division including this area is 0.042
Land cover ratio of development is 0.161
Land cover ratio of building is 0.02
Land cover ratio of road is 0.018
Land cover ratio of rangeland is 0.462
Land cover ratio of agricultural is 0.082
Land cover ratio of water is 0.202
distance to the nearest airport is 84.047
distance to the nearest port is 268.10"
9023,"full address of the given location is Unsan-gun, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 15.073
area of administrative division including this area is 869.304
Population of the administrative division including this area is 102928.0
Sum of nightlight intensity is 28.337
Average nightlight intensity is 0.691
Sum of nightlight intensity in the administrative division including this area is 85.562
Average nightlight intensity in the administrative division including this area is 0.019
Land cover ratio of development is 0.146
Land cover ratio of building is 0.014
Land cover ratio of road is 0.019
Land cover ratio of rangeland is 0.425
Land cover ratio of agricultural is 0.061
Land cover ratio of water is 0.286
distance to the nearest airport is 77.982
distance to the nearest port is 314.51"
1016,"full address of the given location is Dongsin-gun, Jagang-do, PRK
area of district (km^2) of the given location is 5.213
area of administrative division including this area is 1306.233
Population of the administrative division including this area is 47460.0
Sum of nightlight intensity is 4.382
Average nightlight intensity is 0.169
Sum of nightlight intensity in the administrative division including this area is 87.25
Average nightlight intensity in the administrative division including this area is 0.016
Land cover ratio of development is 0.144
Land cover ratio of building is 0.009
Land cover ratio of road is 0.011
Land cover ratio of rangeland is 0.39
Land cover ratio of agricultural is 0.025
Land cover ratio of water is 0.38
distance to the nearest airport is 105.613
distance to the nearest port is 305.45"
1017,"full address of the given location is Wusi-gun, Jagang-do, PRK
area of district (km^2) of the given location is 6.875
area of administrative division including this area is 503.657
Population of the administrative division including this area is 42919.0
Sum of nightlight intensity is 13.473
Average nightlight intensity is 0.299
Sum of nightlight intensity in the administrative division including this area is 23.224
Average nightlight intensity in the administrative division including this area is 0.006
Land cover ratio of development is 0.089
Land cover ratio of building is 0.014
Land cover ratio of road is 0.004
Land cover ratio of rangeland is 0.434
Land cover ratio of agricultural is 0.031
Land cover ratio of water is 0.397
distance to the nearest airport is 141.954
distance to the nearest port is 290."
5003,"full address of the given location is Sainei, Hwanghae-Namdo, PRK
area of district (km^2) of the given location is 13.071
area of administrative division including this area is 394.885
Population of the administrative division including this area is 125631.0
Sum of nightlight intensity is 46.451
Average nightlight intensity is 0.683
Sum of nightlight intensity in the administrative division including this area is 51.666
Average nightlight intensity in the administrative division including this area is 0.02
Land cover ratio of development is 0.165
Land cover ratio of building is 0.019
Land cover ratio of road is 0.018
Land cover ratio of rangeland is 0.505
Land cover ratio of agricultural is 0.071
Land cover ratio of water is 0.179
distance to the nearest airport is 89.337
distance to the nearest port is 260.75"
5018,"full address of the given location is Euncheon-gun, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 11.87
area of administrative division including this area is 476.655
Population of the administrative division including this area is 95597.0
Sum of nightlight intensity is 21.245
Average nightlight intensity is 0.386
Sum of nightlight intensity in the administrative division including this area is 29.119
Average nightlight intensity in the administrative division including this area is 0.019
Land cover ratio of development is 0.148
Land cover ratio of building is 0.014
Land cover ratio of road is 0.011
Land cover ratio of rangeland is 0.551
Land cover ratio of agricultural is 0.086
Land cover ratio of water is 0.148
distance to the nearest airport is 73.696
distance to the nearest port is 279.33"
4015,"full address of the given location is Eunpa-gun, Hwanghaebuk-do, PRK
area of district (km^2) of the given location is 11.003
area of administrative division including this area is 308.646
Population of the administrative division including this area is 110988.0
Sum of nightlight intensity is 24.319
Average nightlight intensity is 0.54
Sum of nightlight intensity in the administrative division including this area is 25.76
Average nightlight intensity in the administrative division including this area is 0.018
Land cover ratio of development is 0.123
Land cover ratio of building is 0.02
Land cover ratio of road is 0.016
Land cover ratio of rangeland is 0.589
Land cover ratio of agricultural is 0.127
Land cover ratio of water is 0.092
distance to the nearest airport is 88.279
distance to the nearest port is 244.98"
4017,"full address of the given location is Yeontan-gun, Hwanghaebuk-do, PRK
area of district (km^2) of the given location is 15.045
area of administrative division including this area is 504.689
Population of the administrative division including this area is 73032.0
Sum of nightlight intensity is 19.078
Average nightlight intensity is 0.561
Sum of nightlight intensity in the administrative division including this area is 30.485
Average nightlight intensity in the administrative division including this area is 0.01
Land cover ratio of development is 0.158
Land cover ratio of building is 0.012
Land cover ratio of road is 0.01
Land cover ratio of rangeland is 0.563
Land cover ratio of agricultural is 0.072
Land cover ratio of water is 0.151
distance to the nearest airport is 70.339
distance to the nearest port is 232.21"
2007,"full address of the given location is Gyeongseong-gun, Hamgyeongbuk-do, PRK
area of district (km^2) of the given location is 20.698
area of administrative division including this area is 1330.718
Population of the administrative division including this area is 105909.0
Sum of nightlight intensity is 87.321
Average nightlight intensity is 0.414
Sum of nightlight intensity in the administrative division including this area is 221.457
Average nightlight intensity in the administrative division including this area is 0.034
Land cover ratio of development is 0.235
Land cover ratio of building is 0.044
Land cover ratio of road is 0.031
Land cover ratio of rangeland is 0.297
Land cover ratio of agricultural is 0.132
Land cover ratio of water is 0.183
distance to the nearest airport is 288.509
distance to the nearest port is 252.22"
2011,"full address of the given location is Eorang-gun, Hamgyeongbuk-do, PRK
area of district (km^2) of the given location is 19.944
area of administrative division including this area is 1931.172
Population of the administrative division including this area is 87757.0
Sum of nightlight intensity is 14.499
Average nightlight intensity is 0.112
Sum of nightlight intensity in the administrative division including this area is 111.831
Average nightlight intensity in the administrative division including this area is 0.009
Land cover ratio of development is 0.068
Land cover ratio of building is 0.008
Land cover ratio of road is 0.014
Land cover ratio of rangeland is 0.271
Land cover ratio of agricultural is 0.093
Land cover ratio of water is 0.518
distance to the nearest airport is 296.227
distance to the nearest port is 259.5"
