area_id,desc
3005,"full address of the given location is Hamju-gun, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 596.675
Sum of nightlight intensity is 32.179
Average nightlight intensity is 0.005
Land cover ratio of development is 0.319
Land cover ratio of building is 0.062
Land cover ratio of road is 0.036
Land cover ratio of rangeland is 0.184
Land cover ratio of agricultural is 0.18
distance to the nearest airport is 131.108
distance to the nearest port is 220.368
Land cover ratio of water is 0.194"
3011,"full address of the given location is Geumya-gun, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 681.392
Sum of nightlight intensity is 95.705
Average nightlight intensity is 0.013
Land cover ratio of development is 0.334
Land cover ratio of building is 0.022
Land cover ratio of road is 0.02
Land cover ratio of rangeland is 0.193
Land cover ratio of agricultural is 0.046
distance to the nearest airport is 118.523
distance to the nearest port is 183.764
Land cover ratio of water is 0.319"
10019,"full address of the given location is Seongcheon-gun, Pyongannam-do, PRK
area of district (km^2) of the given location is 834.8
Sum of nightlight intensity is 37.727
Average nightlight intensity is 0.009
Land cover ratio of development is 0.257
Land cover ratio of building is 0.016
Land cover ratio of road is 0.022
Land cover ratio of rangeland is 0.209
Land cover ratio of agricultural is 0.054
distance to the nearest airport is 32.562
distance to the nearest port is 237.782
Land cover ratio of water is 0.362"
10020,"full address of the given location is Sukcheon-gun, Pyongannam-do, PRK
area of district (km^2) of the given location is 428.008
Sum of nightlight intensity is 48.046
Average nightlight intensity is 0.02
Land cover ratio of development is 0.323
Land cover ratio of building is 0.043
Land cover ratio of road is 0.019
Land cover ratio of rangeland is 0.306
Land cover ratio of agricultural is 0.02
distance to the nearest airport is 23.47
distance to the nearest port is 293.561
Land cover ratio of water is 0.234"
14001,"full address of the given location is Shinuiju, Shinuiju, PRK
area of district (km^2) of the given location is 108.989
Sum of nightlight intensity is 1954.835
Average nightlight intensity is 3.28
Land cover ratio of development is 0.289
Land cover ratio of building is 0.022
Land cover ratio of road is 0.017
Land cover ratio of rangeland is 0.309
Land cover ratio of agricultural is 0.07
distance to the nearest airport is 146.18
distance to the nearest port is 196.619
Land cover ratio of water is 0.252"
10013,"full address of the given location is Oncheon-gun, Nampo-si, PRK
area of district (km^2) of the given location is 319.585
Sum of nightlight intensity is 28.985
Average nightlight intensity is 0.015
Land cover ratio of development is 0.363
Land cover ratio of building is 0.057
Land cover ratio of road is 0.029
Land cover ratio of rangeland is 0.292
Land cover ratio of agricultural is 0.076
distance to the nearest airport is 52.413
distance to the nearest port is 301.783
Land cover ratio of water is 0.154"
7006,"full address of the given location is Icheon-gun, Gangwon-do, PRK
area of district (km^2) of the given location is 629.804
Sum of nightlight intensity is 17.816
Average nightlight intensity is 0.008
Land cover ratio of development is 0.334
Land cover ratio of building is 0.023
Land cover ratio of road is 0.017
Land cover ratio of rangeland is 0.339
Land cover ratio of agricultural is 0.005
distance to the nearest airport is 104.884
distance to the nearest port is 154.707
Land cover ratio of water is 0.174"
7008,"full address of the given location is Gosan-gun, Gangwon-do, PRK
area of district (km^2) of the given location is 386.18
Sum of nightlight intensity is 54.1
Average nightlight intensity is 0.03
Land cover ratio of development is 0.299
Land cover ratio of building is 0.015
Land cover ratio of road is 0.02
Land cover ratio of rangeland is 0.234
Land cover ratio of agricultural is 0.186
distance to the nearest airport is 142.297
distance to the nearest port is 127.121
Land cover ratio of water is 0.195"
9009,"full address of the given location is Gujang-gun, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 696.825
Sum of nightlight intensity is 38.188
Average nightlight intensity is 0.008
Land cover ratio of development is 0.284
Land cover ratio of building is 0.032
Land cover ratio of road is 0.013
Land cover ratio of rangeland is 0.317
Land cover ratio of agricultural is 0.004
distance to the nearest airport is 59.125
distance to the nearest port is 289.293
Land cover ratio of water is 0.283"
9010,"full address of the given location is Guseong-si, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 524.177
Sum of nightlight intensity is 71.329
Average nightlight intensity is 0.037
Land cover ratio of development is 0.405
Land cover ratio of building is 0.037
Land cover ratio of road is 0.026
Land cover ratio of rangeland is 0.191
Land cover ratio of agricultural is 0.016
distance to the nearest airport is 85.222
distance to the nearest port is 264.232
Land cover ratio of water is 0.238"
