area_id,desc
06001,"full address of the given location is Jangpung-gun, Gaeseong-si, PRK
area of district (km^2) of the given location is 610.55
Sum of nightlight intensity is 105.508
Average nightlight intensity is 0.036"
06002,"full address of the given location is Kaepung, Gaeseong-si, PRK
area of district (km^2) of the given location is 157.575
Sum of nightlight intensity is 38.398
Average nightlight intensity is 0.055"
06003,"full address of the given location is Panmun, Gaeseong-si, PRK
area of district (km^2) of the given location is 412.339
Sum of nightlight intensity is 819.783
Average nightlight intensity is 0.443"
05001,"full address of the given location is Anak, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 346.069
Sum of nightlight intensity is 33.457
Average nightlight intensity is 0.014"
05002,"full address of the given location is Ch'ŏngdan, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 506.998
Sum of nightlight intensity is 34.057
Average nightlight intensity is 0.012"
05003,"full address of the given location is Jaeryeong-gun, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 394.885
Sum of nightlight intensity is 51.666
Average nightlight intensity is 0.02"
05004,"full address of the given location is Changyŏn, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 248.191
Sum of nightlight intensity is 40.045
Average nightlight intensity is 0.02"
05005,"full address of the given location is Haeju, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 223.356
Sum of nightlight intensity is 313.369
Average nightlight intensity is 0.418"
05006,"full address of the given location is Kangry'ŏng, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 621.414
Sum of nightlight intensity is 35.71
Average nightlight intensity is 0.003"
05007,"full address of the given location is Kwail, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 327.137
Sum of nightlight intensity is 34.643
Average nightlight intensity is 0.008"
05008,"full address of the given location is Ongjin, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 574.713
Sum of nightlight intensity is 76.753
Average nightlight intensity is 0.019"
05009,"full address of the given location is Paekch'ŏn, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 495.04
Sum of nightlight intensity is 100.019
Average nightlight intensity is 0.057"
05010,"full address of the given location is Pongch'ŏn, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 506.966
Sum of nightlight intensity is 13.034
Average nightlight intensity is 0.007"
05011,"full address of the given location is Pyŏksŏng, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 551.45
Sum of nightlight intensity is 18.816
Average nightlight intensity is 0.012"
05012,"full address of the given location is Ryongyŏn, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 453.137
Sum of nightlight intensity is 52.072
Average nightlight intensity is 0.016"
05013,"full address of the given location is Samch'ŏn, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 260.436
Sum of nightlight intensity is 57.33
Average nightlight intensity is 0.075"
05014,"full address of the given location is Sinch'ŏn, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 366.545
Sum of nightlight intensity is 41.626
Average nightlight intensity is 0.035"
05015,"full address of the given location is Sinwŏn, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 527.698
Sum of nightlight intensity is 22.945
Average nightlight intensity is 0.009"
05016,"full address of the given location is Songhwa, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 187.674
Sum of nightlight intensity is 10.916
Average nightlight intensity is 0.012"
05017,"full address of the given location is T'aet'an, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 291.069
Sum of nightlight intensity is 22.92
Average nightlight intensity is 0.019"
05018,"full address of the given location is Euncheon-gun, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 476.655
Sum of nightlight intensity is 29.119
Average nightlight intensity is 0.019"
05019,"full address of the given location is Ŭnryul, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 523.537
Sum of nightlight intensity is 45.525
Average nightlight intensity is 0.007"
05020,"full address of the given location is Water Body, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 174.516
Sum of nightlight intensity is 117.365
Average nightlight intensity is 0.055"
05021,"full address of the given location is Yonan, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 492.804
Sum of nightlight intensity is 63.792
Average nightlight intensity is 0.024"
09001,"full address of the given location is Byokdong, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 773.8
Sum of nightlight intensity is 22.487
Average nightlight intensity is 0.005"
09002,"full address of the given location is Ch'angsŏng, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 621.95
Sum of nightlight intensity is 28.54
Average nightlight intensity is 0.005"
09003,"full address of the given location is Ch'ŏlsan, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 466.049
Sum of nightlight intensity is 50.198
Average nightlight intensity is 0.007"
09004,"full address of the given location is Ch'ŏnma, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 550.47
Sum of nightlight intensity is 29.325
Average nightlight intensity is 0.011"
09005,"full address of the given location is Chŏngju-si, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 485.034
Sum of nightlight intensity is 90.882
Average nightlight intensity is 0.04"
09006,"full address of the given location is Daengwan, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 786.512
Sum of nightlight intensity is 41.655
Average nightlight intensity is 0.011"
09007,"full address of the given location is Dongrim, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 513.644
Sum of nightlight intensity is 23.521
Average nightlight intensity is 0.009"
09008,"full address of the given location is Hyangsan, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 273.363
Sum of nightlight intensity is 45.321
Average nightlight intensity is 0.019"
