area_id,desc
3005_2023,"full address of the given location is Chigyong, Hamgyong-Namdo, PRK
area of district (km^2) of the given location is 6.603
Population of the area is 133896.0
Sum of nightlight intensity is 20.794
Average nightlight intensity is 0.693
Land cover ratio of development is 0.237
Land cover ratio of building is 0.027
Land cover ratio of road is 0.021
Land cover ratio of rangeland is 0.336
Land cover ratio of agricultural is 0.197
Land cover ratio of water is 0.143
distance to the nearest airport is 141.666
distance to the nearest port is 208.39"
3011_2023,"full address of the given location is Geumya-gun, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 6.44
Population of the area is 211140.0
Sum of nightlight intensity is 30.109
Average nightlight intensity is 0.912
Land cover ratio of development is 0.189
Land cover ratio of building is 0.016
Land cover ratio of road is 0.016
Land cover ratio of rangeland is 0.505
Land cover ratio of agricultural is 0.077
Land cover ratio of water is 0.172
distance to the nearest airport is 116.991
distance to the nearest port is 189.263"
10019_2023,"full address of the given location is Seongcheon-gun, Pyongannam-do, PRK
area of district (km^2) of the given location is 10.078
Population of the area is 149809.0
Sum of nightlight intensity is 18.363
Average nightlight intensity is 0.375
Land cover ratio of development is 0.152
Land cover ratio of building is 0.007
Land cover ratio of road is 0.008
Land cover ratio of rangeland is 0.415
Land cover ratio of agricultural is 0.033
Land cover ratio of water is 0.339
distance to the nearest airport is 33.705
distance to the nearest port is 236.456"
10020_2023,"full address of the given location is Sukcheon-gun, Pyongannam-do, PRK
area of district (km^2) of the given location is 14.04
Population of the area is 178509.0
Sum of nightlight intensity is 27.777
Average nightlight intensity is 0.661
Land cover ratio of development is 0.197
Land cover ratio of building is 0.025
Land cover ratio of road is 0.016
Land cover ratio of rangeland is 0.518
Land cover ratio of agricultural is 0.067
Land cover ratio of water is 0.126
distance to the nearest airport is 22.552
distance to the nearest port is 290.43"
10013_2023,"full address of the given location is Ch'ongjongsang-Dong, P'Yongan-Namdo, PRK
area of district (km^2) of the given location is 9.279
Population of the area is 149851.0
Sum of nightlight intensity is 26.539
Average nightlight intensity is 0.68
Land cover ratio of development is 0.183
Land cover ratio of building is 0.025
Land cover ratio of road is 0.021
Land cover ratio of rangeland is 0.438
Land cover ratio of agricultural is 0.153
Land cover ratio of water is 0.121
distance to the nearest airport is 52.732
distance to the nearest port is 302.242"
7006_2023,"full address of the given location is Icheon-gun, Gangwon-do, PRK
area of district (km^2) of the given location is 1.372
Population of the area is 57563.0
Sum of nightlight intensity is 3.281
Average nightlight intensity is 0.469
Land cover ratio of development is 0.142
Land cover ratio of building is 0.023
Land cover ratio of road is 0.005
Land cover ratio of rangeland is 0.637
Land cover ratio of agricultural is 0.043
Land cover ratio of water is 0.097
distance to the nearest airport is 104.574
distance to the nearest port is 151.822"
7008_2023,"full address of the given location is Gosan-gun, Gangwon-do, PRK
area of district (km^2) of the given location is 12.226
Population of the area is 103579.0
Sum of nightlight intensity is 27.121
Average nightlight intensity is 0.468
Land cover ratio of development is 0.218
Land cover ratio of building is 0.025
Land cover ratio of road is 0.028
Land cover ratio of rangeland is 0.354
Land cover ratio of agricultural is 0.184
Land cover ratio of water is 0.139
distance to the nearest airport is 140.176
distance to the nearest port is 125.203"
9009_2023,"full address of the given location is Gujang-gun, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 15.406
Population of the area is 139337.0
Sum of nightlight intensity is 55.945
Average nightlight intensity is 0.478
Land cover ratio of development is 0.175
Land cover ratio of building is 0.021
Land cover ratio of road is 0.017
Land cover ratio of rangeland is 0.544
Land cover ratio of agricultural is 0.013
Land cover ratio of water is 0.188
distance to the nearest airport is 51.196
distance to the nearest port is 286.328"
9010_2023,"full address of the given location is Guseong-si, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 24.338
Population of the area is 196515.0
Sum of nightlight intensity is 23.262
Average nightlight intensity is 0.277
Land cover ratio of development is 0.149
Land cover ratio of building is 0.01
Land cover ratio of road is 0.017
Land cover ratio of rangeland is 0.413
Land cover ratio of agricultural is 0.063
Land cover ratio of water is 0.292
distance to the nearest airport is 84.047
distance to the nearest port is 268.105"
9023_2023,"full address of the given location is Unsan-gun, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 15.073
Population of the area is 102928.0
Sum of nightlight intensity is 28.337
Average nightlight intensity is 0.691
Land cover ratio of development is 0.184
Land cover ratio of building is 0.015
Land cover ratio of road is 0.018
Land cover ratio of rangeland is 0.411
Land cover ratio of agricultural is 0.059
Land cover ratio of water is 0.257
distance to the nearest airport is 77.982
distance to the nearest port is 314.519"
1016_2023,"full address of the given location is Dongsin-gun, Jagang-do, PRK
area of district (km^2) of the given location is 5.213
Population of the area is 47460.0
Sum of nightlight intensity is 4.382
Average nightlight intensity is 0.169
Land cover ratio of development is 0.155
Land cover ratio of building is 0.009
Land cover ratio of road is 0.013
Land cover ratio of rangeland is 0.424
Land cover ratio of agricultural is 0.035
Land cover ratio of water is 0.313
distance to the nearest airport is 105.613
distance to the nearest port is 305.459"
1017_2023,"full address of the given location is Wusi-gun, Jagang-do, PRK
area of district (km^2) of the given location is 6.875
Population of the area is 42919.0
Sum of nightlight intensity is 13.473
Average nightlight intensity is 0.299
Land cover ratio of development is 0.106
Land cover ratio of building is 0.009
Land cover ratio of road is 0.005
Land cover ratio of rangeland is 0.323
Land cover ratio of agricultural is 0.03
Land cover ratio of water is 0.488
distance to the nearest airport is 141.954
distance to the nearest port is 290.0"
5003_2023,"full address of the given location is Sainei, Hwanghae-Namdo, PRK
area of district (km^2) of the given location is 13.071
Population of the area is 125631.0
Sum of nightlight intensity is 46.451
Average nightlight intensity is 0.683
Land cover ratio of development is 0.19
Land cover ratio of building is 0.029
Land cover ratio of road is 0.019
Land cover ratio of rangeland is 0.539
Land cover ratio of agricultural is 0.04
Land cover ratio of water is 0.121
distance to the nearest airport is 89.337
distance to the nearest port is 260.755"
5018_2023,"full address of the given location is Euncheon-gun, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 11.87
Population of the area is 95597.0
Sum of nightlight intensity is 21.245
Average nightlight intensity is 0.386
Land cover ratio of development is 0.178
Land cover ratio of building is 0.017
Land cover ratio of road is 0.011
Land cover ratio of rangeland is 0.515
Land cover ratio of agricultural is 0.056
Land cover ratio of water is 0.169
distance to the nearest airport is 73.696
distance to the nearest port is 279.331"
4015_2023,"full address of the given location is Eunpa-gun, Hwanghaebuk-do, PRK
area of district (km^2) of the given location is 11.003
Population of the area is 110988.0
Sum of nightlight intensity is 24.319
Average nightlight intensity is 0.54
Land cover ratio of development is 0.19
Land cover ratio of building is 0.029
Land cover ratio of road is 0.019
Land cover ratio of rangeland is 0.539
Land cover ratio of agricultural is 0.04
Land cover ratio of water is 0.121
distance to the nearest airport is 88.279
distance to the nearest port is 244.989"
