area_id,desc
3005_2022,"full address of the given location is Chigyong, Hamgyong-Namdo, PRK
area of district (km^2) of the given location is 6.603
area of administrative division including this area is 596.675
Population of the administrative division including this area is 133896.0
Sum of nightlight intensity is 13.523
Average nightlight intensity is 0.451
Sum of nightlight intensity in the administrative division including this area is 32.179
Average nightlight intensity in the administrative division including this area is 0.005
Land cover ratio of development is 0.257
Land cover ratio of building is 0.034
Land cover ratio of road is 0.022
Land cover ratio of rangeland is 0.33
Land cover ratio of agricultural is 0.124
Land cover ratio of water is 0.156
distance to the nearest airport is 141.666
distance to the nearest port is 208.3"
3011_2022,"full address of the given location is Geumya-gun, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 6.44
area of administrative division including this area is 681.392
Population of the administrative division including this area is 211140.0
Sum of nightlight intensity is 23.176
Average nightlight intensity is 0.702
Sum of nightlight intensity in the administrative division including this area is 95.705
Average nightlight intensity in the administrative division including this area is 0.013
Land cover ratio of development is 0.221
Land cover ratio of building is 0.019
Land cover ratio of road is 0.016
Land cover ratio of rangeland is 0.529
Land cover ratio of agricultural is 0.044
Land cover ratio of water is 0.139
distance to the nearest airport is 116.991
distance to the nearest port is 189.26"
10019_2022,"full address of the given location is Seongcheon-gun, Pyongannam-do, PRK
area of district (km^2) of the given location is 10.078
area of administrative division including this area is 834.8
Population of the administrative division including this area is 149809.0
Sum of nightlight intensity is 12.526
Average nightlight intensity is 0.256
Sum of nightlight intensity in the administrative division including this area is 37.727
Average nightlight intensity in the administrative division including this area is 0.009
Land cover ratio of development is 0.13
Land cover ratio of building is 0.014
Land cover ratio of road is 0.013
Land cover ratio of rangeland is 0.505
Land cover ratio of agricultural is 0.06
Land cover ratio of water is 0.25
distance to the nearest airport is 33.705
distance to the nearest port is 236.45"
10020_2022,"full address of the given location is Sukcheon-gun, Pyongannam-do, PRK
area of district (km^2) of the given location is 14.04
area of administrative division including this area is 428.008
Population of the administrative division including this area is 178509.0
Sum of nightlight intensity is 19.674
Average nightlight intensity is 0.468
Sum of nightlight intensity in the administrative division including this area is 48.046
Average nightlight intensity in the administrative division including this area is 0.02
Land cover ratio of development is 0.243
Land cover ratio of building is 0.034
Land cover ratio of road is 0.018
Land cover ratio of rangeland is 0.453
Land cover ratio of agricultural is 0.048
Land cover ratio of water is 0.15
distance to the nearest airport is 22.552
distance to the nearest port is 290.4"
10013_2022,"full address of the given location is Ch'ongjongsang-Dong, P'Yongan-Namdo, PRK
area of district (km^2) of the given location is 9.279
area of administrative division including this area is 319.585
Population of the administrative division including this area is 149851.0
Sum of nightlight intensity is 10.854
Average nightlight intensity is 0.278
Sum of nightlight intensity in the administrative division including this area is 28.985
Average nightlight intensity in the administrative division including this area is 0.015
Land cover ratio of development is 0.127
Land cover ratio of building is 0.011
Land cover ratio of road is 0.011
Land cover ratio of rangeland is 0.547
Land cover ratio of agricultural is 0.098
Land cover ratio of water is 0.171
distance to the nearest airport is 52.732
distance to the nearest port is 302.24"
7006_2022,"full address of the given location is Icheon-gun, Gangwon-do, PRK
area of district (km^2) of the given location is 1.372
area of administrative division including this area is 629.804
Population of the administrative division including this area is 57563.0
Sum of nightlight intensity is 3.789
Average nightlight intensity is 0.541
Sum of nightlight intensity in the administrative division including this area is 17.816
Average nightlight intensity in the administrative division including this area is 0.008
Land cover ratio of development is 0.153
Land cover ratio of building is 0.03
Land cover ratio of road is 0.004
Land cover ratio of rangeland is 0.594
Land cover ratio of agricultural is 0.052
Land cover ratio of water is 0.124
distance to the nearest airport is 104.574
distance to the nearest port is 151.82"
7008_2022,"full address of the given location is Gosan-gun, Gangwon-do, PRK
area of district (km^2) of the given location is 12.226
area of administrative division including this area is 386.18
Population of the administrative division including this area is 103579.0
Sum of nightlight intensity is 24.468
Average nightlight intensity is 0.422
Sum of nightlight intensity in the administrative division including this area is 54.1
Average nightlight intensity in the administrative division including this area is 0.03
Land cover ratio of development is 0.159
Land cover ratio of building is 0.022
Land cover ratio of road is 0.024
Land cover ratio of rangeland is 0.44
Land cover ratio of agricultural is 0.136
Land cover ratio of water is 0.18
distance to the nearest airport is 140.176
distance to the nearest port is 125.20"
9009_2022,"full address of the given location is Gujang-gun, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 15.406
area of administrative division including this area is 696.825
Population of the administrative division including this area is 139337.0
Sum of nightlight intensity is 23.529
Average nightlight intensity is 0.201
Sum of nightlight intensity in the administrative division including this area is 38.188
Average nightlight intensity in the administrative division including this area is 0.008
Land cover ratio of development is 0.192
Land cover ratio of building is 0.023
Land cover ratio of road is 0.014
Land cover ratio of rangeland is 0.496
Land cover ratio of agricultural is 0.013
Land cover ratio of water is 0.23
distance to the nearest airport is 51.196
distance to the nearest port is 286.32"
9010_2022,"full address of the given location is Guseong-si, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 24.338
area of administrative division including this area is 524.177
Population of the administrative division including this area is 196515.0
Sum of nightlight intensity is 12.515
Average nightlight intensity is 0.149
Sum of nightlight intensity in the administrative division including this area is 71.329
Average nightlight intensity in the administrative division including this area is 0.037
Land cover ratio of development is 0.184
Land cover ratio of building is 0.013
Land cover ratio of road is 0.018
Land cover ratio of rangeland is 0.454
Land cover ratio of agricultural is 0.055
Land cover ratio of water is 0.213
distance to the nearest airport is 84.047
distance to the nearest port is 268.10"
9023_2022,"full address of the given location is Unsan-gun, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 15.073
area of administrative division including this area is 869.304
Population of the administrative division including this area is 102928.0
Sum of nightlight intensity is 14.658
Average nightlight intensity is 0.358
Sum of nightlight intensity in the administrative division including this area is 38.123
Average nightlight intensity in the administrative division including this area is 0.009
Land cover ratio of development is 0.159
Land cover ratio of building is 0.013
Land cover ratio of road is 0.014
Land cover ratio of rangeland is 0.477
Land cover ratio of agricultural is 0.021
Land cover ratio of water is 0.262
distance to the nearest airport is 77.982
distance to the nearest port is 314.51"
