area_id,desc
03001,"full address of the given location is Chŏngp'yŏng, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 874.874
Sum of nightlight intensity is 35.215
Average nightlight intensity is 0.008
Land cover ratio of development is 0.0
Land cover ratio of building is 0.0
Land cover ratio of road is 0.0
Land cover ratio of rangeland is 0.0
Land cover ratio of agricultural is 0.0
distance to the nearest airport is 127.415
distance to the nearest port is 197.607
Land cover ratio of water is 0.0"
03002,"full address of the given location is Dachon, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 1938.131
Sum of nightlight intensity is 392.02
Average nightlight intensity is 0.02
Land cover ratio of development is 0.0
Land cover ratio of building is 0.0
Land cover ratio of road is 0.0
Land cover ratio of rangeland is 0.0
Land cover ratio of agricultural is 0.0
distance to the nearest airport is 308.109
distance to the nearest port is 327.674
Land cover ratio of water is 0.0"
03003,"full address of the given location is Doksong, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 1593.606
Sum of nightlight intensity is 22.194
Average nightlight intensity is 0.003
Land cover ratio of development is 0.0
Land cover ratio of building is 0.0
Land cover ratio of road is 0.0
Land cover ratio of rangeland is 0.0
Land cover ratio of agricultural is 0.0
distance to the nearest airport is 230.162
distance to the nearest port is 252.835
Land cover ratio of water is 0.0"
03004,"full address of the given location is Hamhŭng, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 545.773
Sum of nightlight intensity is 980.677
Average nightlight intensity is 0.336
Land cover ratio of development is 0.0
Land cover ratio of building is 0.0
Land cover ratio of road is 0.0
Land cover ratio of rangeland is 0.0
Land cover ratio of agricultural is 0.0
distance to the nearest airport is 159.705
distance to the nearest port is 208.837
Land cover ratio of water is 0.0"
03005,"full address of the given location is Hamju-gun, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 596.675
Sum of nightlight intensity is 32.179
Average nightlight intensity is 0.005
Land cover ratio of development is 0.319
Land cover ratio of building is 0.062
Land cover ratio of road is 0.036
Land cover ratio of rangeland is 0.184
Land cover ratio of agricultural is 0.18
distance to the nearest airport is 131.108
distance to the nearest port is 220.368
Land cover ratio of water is 0.194"
03006,"full address of the given location is Hŏch'ŏn, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 1676.163
Sum of nightlight intensity is 34.244
Average nightlight intensity is 0.003
Land cover ratio of development is 0.0
Land cover ratio of building is 0.0
Land cover ratio of road is 0.0
Land cover ratio of rangeland is 0.0
Land cover ratio of agricultural is 0.0
distance to the nearest airport is 279.815
distance to the nearest port is 289.661
Land cover ratio of water is 0.0"
03007,"full address of the given location is Hongwŏn, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 986.123
Sum of nightlight intensity is 30.368
Average nightlight intensity is 0.008
Land cover ratio of development is 0.0
Land cover ratio of building is 0.0
Land cover ratio of road is 0.0
Land cover ratio of rangeland is 0.0
Land cover ratio of agricultural is 0.0
distance to the nearest airport is 193.55
distance to the nearest port is 222.141
Land cover ratio of water is 0.0"
03008,"full address of the given location is Jangjin, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 1987.189
Sum of nightlight intensity is 10.889
Average nightlight intensity is 0.001
Land cover ratio of development is 0.0
Land cover ratio of building is 0.0
Land cover ratio of road is 0.0
Land cover ratio of rangeland is 0.0
Land cover ratio of agricultural is 0.0
distance to the nearest airport is 165.439
distance to the nearest port is 276.769
Land cover ratio of water is 0.0"
03009,"full address of the given location is Kowŏn, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 213.987
Sum of nightlight intensity is 21.574
Average nightlight intensity is 0.016
Land cover ratio of development is 0.0
Land cover ratio of building is 0.0
Land cover ratio of road is 0.0
Land cover ratio of rangeland is 0.0
Land cover ratio of agricultural is 0.0
distance to the nearest airport is 105.265
distance to the nearest port is 186.581
Land cover ratio of water is 0.0"
03010,"full address of the given location is Kŭmho, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 7.746
Sum of nightlight intensity is 0.0
Average nightlight intensity is 0.0
Land cover ratio of development is 0.0
Land cover ratio of building is 0.0
Land cover ratio of road is 0.0
Land cover ratio of rangeland is 0.0
Land cover ratio of agricultural is 0.0
distance to the nearest airport is 227.296
distance to the nearest port is 213.06
Land cover ratio of water is 0.0"
