area_id,desc
PL22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
area of district (km^2) of the given location is 944.275
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
Land cover ratio of development is 0.069
Land cover ratio of agricultural is 0.125
distance to the nearest airport is 62.749
distance to the nearest port is 480.035"
PL228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
area of district (km^2) of the given location is 1577.294
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
Land cover ratio of development is 0.048
Land cover ratio of agricultural is 0.139
distance to the nearest airport is 90.669
distance to the nearest port is 424.628"
PL229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
area of district (km^2) of the given location is 879.221
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
Land cover ratio of development is 0.06
Land cover ratio of agricultural is 0.192
distance to the nearest airport is 92.359
distance to the nearest port is 439.659"
PL22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
area of district (km^2) of the given location is 380.303
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
Land cover ratio of development is 0.13
Land cover ratio of agricultural is 0.025
distance to the nearest airport is 59.959
distance to the nearest port is 462.674"
PL22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
area of district (km^2) of the given location is 1802.048
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
Land cover ratio of development is 0.063
Land cover ratio of agricultural is 0.121
distance to the nearest airport is 48.548
distance to the nearest port is 442.798"
PL224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
area of district (km^2) of the given location is 3048.128
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
Land cover ratio of development is 0.056
Land cover ratio of agricultural is 0.12
distance to the nearest airport is 93.145
distance to the nearest port is 399.878"
PL225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
area of district (km^2) of the given location is 2352.916
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
Land cover ratio of development is 0.049
Land cover ratio of agricultural is 0.082
distance to the nearest airport is 68.587
distance to the nearest port is 516.61"
PL227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
area of district (km^2) of the given location is 1353.139
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
Land cover ratio of development is 0.072
Land cover ratio of agricultural is 0.186
distance to the nearest airport is 99.312
distance to the nearest port is 457.293"
PL616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL
area of district (km^2) of the given location is 4053.022
Sum of nightlight intensity is 24538.795
Average nightlight intensity is 0.889
Land cover ratio of development is 0.043
Land cover ratio of agricultural is 0.298
distance to the nearest airport is 131.725
distance to the nearest port is 129.594"
PL617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL
area of district (km^2) of the given location is 4004.409
Sum of nightlight intensity is 34713.672
Average nightlight intensity is 1.1
Land cover ratio of development is 0.037
Land cover ratio of agricultural is 0.286
distance to the nearest airport is 161.216
distance to the nearest port is 177.897"
PL618,"full address of the given location is Wysoka, Cekcyn, Tucholski, Kujawsko-pomorskie, POL
area of district (km^2) of the given location is 3341.296
Sum of nightlight intensity is 19066.158
Average nightlight intensity is 0.906
Land cover ratio of development is 0.04
Land cover ratio of agricultural is 0.206
distance to the nearest airport is 100.271
distance to the nearest port is 105.93"
PL613,"full address of the given location is Toporzysko, Zławieś Wielka, Toruński, Kujawsko-pomorskie, POL
area of district (km^2) of the given location is 2917.507
Sum of nightlight intensity is 60659.559
Average nightlight intensity is 2.151
Land cover ratio of development is 0.051
Land cover ratio of agricultural is 0.215
distance to the nearest airport is 140.857
distance to the nearest port is 143.83"
PL619,"full address of the given location is Wieniec Zalesie, Brześć Kujawski, Włocławski, Kujawsko-pomorskie, POL
area of district (km^2) of the given location is 3656.02
Sum of nightlight intensity is 25074.455
Average nightlight intensity is 1.483
Land cover ratio of development is 0.044
Land cover ratio of agricultural is 0.353
distance to the nearest airport is 107.212
distance to the nearest port is 194.566"
PL414,"full address of the given location is Daninów, Kazimierz Biskupi, Koniński, Wielkopolskie, POL
area of district (km^2) of the given location is 6397.756
Sum of nightlight intensity is 64814.211
Average nightlight intensity is 1.171
Land cover ratio of development is 0.042
Land cover ratio of agricultural is 0.307
distance to the nearest airport is 107.304
distance to the nearest port is 237.44"
PL411,"full address of the given location is Dziembowo, Kaczory, Pilski, Wielkopolskie, POL
area of district (km^2) of the given location is 6457.554
Sum of nightlight intensity is 37868.207
Average nightlight intensity is 0.713
Land cover ratio of development is 0.032
Land cover ratio of agricultural is 0.186
distance to the nearest airport is 180.39
distance to the nearest port is 155.261"
